cpg,gene,in_type2_panel,type2_match
cg10715460,KCNJ12,False,
cg10730148,-,False,
cg10730165,-,False,
cg10733317,FOXO1,False,
cg10738368,LBX2;LOC151534,False,
cg10741308,SORBS1,False,
cg10746447,MAML2,False,
cg10747185,TBL1XR1,False,
cg10759590,KHNYN;CBLN3,False,
cg10761804,KLF16,False,
cg10763374,COMMD3;BMI1,False,
cg10772185,-,False,
cg10786829,-,False,
cg10802680,DIABLO,False,
cg10809958,-,False,
cg10820936,MREG,False,
cg10827754,-,False,
cg10827767,DRG1,False,
cg10848564,-,False,
cg10851251,-,False,
cg10852698,-,False,
cg10859358,TTN,False,
cg10860819,LRRK2,False,
cg10867751,LDLRAP1,False,
cg10882379,CEP170L,False,
cg10894063,-,False,
cg10915716,STK32C,False,
cg10928257,MIR449C;CDC20B,False,
cg10929140,CDKN1C,False,
cg10940462,NRXN2,False,
cg10944802,-,False,
cg10959428,BCAS4,False,
cg10959672,KIAA0319L,False,
cg10967191,-,False,
cg10970143,CCDC19,False,
cg10976975,BMP10,False,
cg10980102,VWF,False,
cg10986043,TCAP,False,
cg10988075,-,False,
cg10991752,-,False,
cg10997248,FXYD2,False,
cg11006267,-,False,
cg11014468,DCP1A,False,
cg11014740,-,False,
cg11018018,-,False,
cg11024522,MUC2,False,
cg11026867,SCNN1A,False,
cg11027221,UNC93B1,False,
cg11045331,AGAP1,False,
cg11061343,C17orf106,False,
cg11065621,SLC10A5,False,
cg11072113,VWCE,False,
cg11086127,PTPRA,False,
cg11091012,NDRG1,False,
cg11093474,-,False,
cg11095027,TOLLIP,False,
cg11104828,-,False,
cg11106287,RGL2,False,
cg11108115,EGFL8,False,
cg11111460,MGC45800,False,
cg11118440,-,False,
cg11134777,INTS1,False,
cg11142013,MIPEP,False,
cg11157127,PHACTR2,False,
cg11176694,CXXC5,False,
cg11183227,MAN2A2,False,
cg11190434,NEURL1B,False,
cg11195298,RGMA,False,
cg11196237,TLX1;TLX1NB,False,
cg11203905,LMNA,False,
cg11209521,GNG12,False,
cg11210357,ZC3H3,False,
cg11222703,-,False,
cg11228052,ASCL1,False,
cg11229864,-,False,
cg11231701,CDK5RAP1,False,
cg11241498,-,False,
cg11245145,DAXX,False,
cg11245205,RASD1,False,
cg11249120,SAMD3,False,
cg11263296,CCDC64,False,
cg11266582,DAPK2,False,
cg11276172,ITPRIP,False,
cg11276388,HIVEP1,False,
cg11278727,-,False,
cg11283860,-,False,
cg11289878,-,False,
cg11290225,KIFC2,False,
cg11301657,EFCAB4B,False,
cg11307823,-,False,
cg11310939,MARCH3,False,
cg11314617,MSC,False,
cg11315153,KHDRBS2,False,
cg11320084,RNF2,False,
cg11320499,ABCC5,False,
cg11324504,SLC16A8,False,
cg11330740,NKX2-5,False,
cg11331678,PLTP,False,
cg11344626,PRDM2,False,
cg11344950,THEM5,False,
cg11348389,TACR1,False,
cg11349093,AP3D1,False,
cg11352083,LOC404266;HOXB6,False,
cg11354266,LOC285954,False,
cg11358405,-,False,
cg11358741,-,False,
cg11362074,-,False,
cg11372818,-,False,
cg11374227,-,False,
cg11379028,-,False,
cg11381282,GJB2,False,
cg11385906,INTS9,False,
cg11390151,-,False,
cg11390541,UBE2V1;TMEM189-UBE2V1,False,
cg11391428,MARCH4,False,
cg11395062,CDRT15,False,
cg11396585,TAPBP,False,
cg11398517,GTSF1L,False,
cg11399195,KIF1B,False,
cg11399254,TAL1,False,
cg11420782,APOL4,False,
cg11427534,-,False,
cg11429292,-,False,
cg11464806,-,False,
cg11504078,GREM2,False,
cg11511777,WNT6,False,
cg11516654,NAV2,False,
cg11526020,TBCD,False,
cg11532179,CSMD1,False,
cg11535564,-,False,
cg11539780,ZNF471,False,
cg11557492,SSC5D,False,
cg11557901,-,False,
cg11562596,BEST1,False,
cg11563127,C12orf76,False,
cg11566394,-,False,
cg11574975,ADORA3,False,
cg11576590,-,False,
cg11592640,CRABP1,False,
cg11599718,VPS37B,False,
cg11603759,PHOX2A,False,
cg11609940,ALOX15,False,
cg11613741,KIAA0408;C6orf174,False,
cg11617147,ATXN7L1,False,
cg11619782,EXD3,False,
cg11626007,WFDC5,False,
cg11626175,JARID2,False,
cg11633461,C10orf54;CDH23,False,
cg11639615,-,False,
cg11683482,DMAP1,False,
cg11696165,PXN,False,
cg11697111,GPER;C7orf50,False,
cg11699125,ACOT7,False,
cg11701367,-,False,
cg11714430,NAB1,False,
cg11714752,TMEM127,False,
cg11719362,-,False,
cg11721361,-,False,
cg11738530,LRRC4B,False,
cg11746996,-,False,
cg11752769,CR1L,False,
cg11757326,ENTHD1,False,
cg11758345,TMEM105,False,
cg11765205,ARL11,False,
cg11770323,NDFIP2,False,
cg11778362,ODZ3,False,
cg11790580,S100A7A,False,
cg11797573,PTPRN2,False,
cg11804725,-,False,
cg11812071,TNFAIP3,False,
cg11819637,THPO,False,
cg11832404,-,False,
cg11832408,FLI1,False,
cg11832534,WDR8,False,
cg11835355,APOL3,False,
cg11836372,FGFR2,False,
cg11837102,ST3GAL3,False,
cg11841239,C1orf105,False,
cg11843735,CDH3,False,
cg11846112,-,False,
cg11848483,ZC3H3,False,
cg11851804,-,False,
cg11852471,-,False,
cg11854227,ILDR1,False,
cg11862551,-,False,
cg11876048,MSI2,False,
cg11880646,-,False,
cg11884711,CANT1,False,
cg11890741,-,False,
cg11893552,-,False,
cg11894257,HDGFL1,False,
cg11899596,NFKBIL2,False,
cg11902543,-,False,
cg11902728,MAG,False,
cg11904435,-,False,
cg11905488,CLEC12A,False,
cg11914650,BRSK2,False,
cg11915444,-,False,
cg11927738,TPCN2,False,
cg11938455,DTNBP1,False,
cg11946666,PRDM16,False,
cg11958668,RNF103,False,
cg11963985,-,False,
cg11987455,ERMAP,False,
cg11991105,-,False,
cg12006794,GUCY1B3,False,
cg12014818,WNT10A,False,
cg12025137,-,False,
cg12029281,TEAD3,False,
cg12032027,ZNF217,False,
cg12039505,JARID2,False,
cg12041848,EYA2,False,
cg12043019,PIM3,False,
cg12054981,PLAT,False,
cg12056887,GUCY1B2,False,
cg12061069,RAP1GAP2,False,
cg12065138,AJAP1,False,
cg12065228,PQLC2,False,
cg12068124,C19orf26,False,
cg12074090,ANGPT2;MCPH1,False,
cg12077460,MFHAS1,False,
cg12077754,HK2,False,
cg12080909,GIT1,False,
cg12082025,ABCA7,False,
cg12095353,-,False,
cg12100302,CTTN,False,
cg12100791,PYCARD,False,
cg12104266,ZNF335,False,
cg12104982,SAFB2,False,
cg12118784,-,False,
cg12120947,NOTCH4,False,
cg12134570,LYL1,False,
cg12147622,-,False,
cg12151942,-,False,
cg12162377,B3GNT7,False,
cg12162450,-,False,
cg12170933,DICER1,False,
cg12172478,RFTN1,False,
cg12175905,PCSK6,False,
cg12180319,FBN1,False,
cg12183875,LRRC31,False,
cg12184293,LOC285740,False,
cg12184886,MYO15B,False,
cg12194055,ACTN1,False,
cg12218732,-,False,
cg12226735,DCBLD2,False,
cg12227647,-,False,
cg12227660,MIR202,False,
cg12231246,-,False,
cg12232463,LONRF2,False,
cg12238593,BTN3A3,False,
cg12239580,FAM198A,False,
cg12250049,BNC1,False,
cg12251459,LRRFIP1,False,
cg12257830,HSPG2,False,
cg12258454,-,False,
cg12267069,-,False,
cg12271419,RHOBTB2,False,
cg12273325,PIK3IP1,False,
cg12279125,-,False,
cg12285627,-,False,
cg12292492,FAM108C1,False,
cg12298872,C1orf69,False,
cg12301823,KIAA1522,False,
cg12306833,-,False,
cg12319534,-,False,
cg12322852,RASSF2,False,
cg12326923,-,False,
cg12338137,TNS1,False,
cg12345672,SND1,False,
cg12345778,WNT10B,False,
cg12356266,-,False,
cg12363671,UMODL1,False,
cg12392104,CCPG1;MIR628,False,
cg12393108,-,False,
cg12405742,THRB,False,
cg12406124,CCNL1,False,
cg12406703,DUSP5,False,
cg12407526,ELOVL7,False,
cg12410939,CAPN9,False,
cg12423623,-,False,
cg12423658,CARS2,False,
cg12425700,-,False,
cg12426344,SPINT1,False,
cg12431087,FOXP1,False,
cg12441066,MSI2,False,
cg12447928,-,False,
cg12465678,FGR,False,
cg12491805,APBA2,False,
cg12506005,LAYN,False,
cg12515366,-,False,
cg12517576,IMPDH1,False,
cg12522599,EEPD1,False,
cg12524179,CD276,False,
cg12529161,-,False,
cg12530994,AKR1C3,False,
cg12549180,-,False,
cg12549411,B3GALT5,False,
cg12555233,MAN2A2,False,
cg12559197,PDE8B,False,
cg12560421,-,False,
cg12570716,KLF6,False,
cg12597066,ZNF287,False,
cg12600197,NEIL1,False,
cg12603453,ZBTB2,False,
cg12604858,ZFAND3,False,
cg12613344,NR1H3,False,
cg12614529,MND1,False,
cg12615982,TERC,False,
cg12616174,MIR124-1;LOC157627,False,
cg12622597,-,False,
cg12627354,LRP4,False,
cg12627712,JAM3,False,
cg12648213,LRRK1,False,
cg12664119,TBX15,False,
cg12669355,CAPZA2,False,
cg12678073,KCNH2,False,
cg12681948,-,False,
cg12682382,UBE2W,False,
cg12683813,-,False,
cg12697833,OPCML,False,
cg12699599,PHGR1,False,
cg12702981,NR1I2,False,
cg12708802,TUSC4;CYB561D2,False,
cg12708994,DSE,False,
cg12716367,MTUS1,False,
cg12716639,USP2,False,
cg12734023,SERTAD2,False,
cg12735333,PIAS1,False,
cg12739584,-,False,
cg12751948,BNIP3,False,
cg12753631,-,False,
cg12753787,PRDM16,False,
cg12754982,IGF2R,False,
cg12761421,LGR6,False,
cg12762731,TMCC1,False,
cg12771852,-,False,
cg12787209,SPINT1,False,
cg12789279,-,False,
cg12791065,ALDH1A3,False,
cg12793711,ACTG1,False,
cg12804755,-,False,
cg12808661,PCBP4;ABHD14B,False,
cg12810701,GPR172B,False,
cg12819873,PRG2,False,
cg12825509,TRA2B,False,
cg12829141,PRRT4,False,
cg12831076,ST3GAL1,False,
cg12837306,-,False,
cg12841513,UBTD1,False,
cg12861503,NEK3,False,
cg12863443,C10orf28,False,
cg12875548,-,False,
cg12886731,HK1,False,
cg12902405,RER1,False,
cg12903224,FAR2,False,
cg12917079,PRKAR1B,False,
cg12918895,DOK7,False,
cg12926358,MGAT3,False,
cg12926693,-,False,
cg12927617,ORM1,False,
cg12940522,KCNQ2,False,
cg12949927,-,False,
cg12959079,-,False,
cg12962542,MECOM,False,
cg12973365,HLCS,False,
cg12976582,HYAL2,False,
cg12978308,NEIL1,False,
cg12984580,-,False,
cg12992443,DLGAP4,False,
cg13000260,TRIM71,False,
cg13001963,-,False,
cg13003011,SDC1,False,
cg13012653,CAST,False,
cg13019306,PRELID2,False,
cg13030582,MFAP4,False,
cg13031611,-,False,
cg13051977,C1orf228,False,
cg13052101,MTL5,False,
cg13054523,-,False,
cg13054975,ELK4,False,
cg13055709,-,False,
cg13058453,WDR63,False,
cg13058457,-,False,
cg13059373,DAXX,False,
cg13065577,-,False,
cg13071386,ITGA9,False,
cg13071869,BOC,False,
cg13074866,-,False,
cg13077562,PNOC,False,
cg13077745,GPR44,False,
cg13079571,TRIM39,False,
cg13081489,NID1,False,
cg13084669,PPAN-P2RY11;P2RY11,False,
cg13084677,LOC401127,False,
cg13090478,-,False,
cg13092575,-,False,
cg13096351,CTTN,False,
cg13107760,ZNF804A,False,
cg13135376,-,False,
cg13139542,-,False,
cg13139848,TANC2,False,
cg13159060,FOXH1,False,
cg13175830,FGFR2,False,
cg13181928,SLC16A11,False,
cg13208003,LHFP,False,
cg13209388,ACOT7,False,
cg13212803,WNT10B,False,
cg13214162,-,False,
cg13222091,SPEF1,False,
cg13226290,NSFL1C,False,
cg13230172,TMEM136,False,
cg13231954,-,False,
cg13234415,-,False,
cg13237945,C13orf30,False,
cg13247117,RIMS3,False,
cg13247398,DGKZ,False,
cg13252730,-,False,
cg13255542,THYN1,False,
cg13256546,APOBEC3G,False,
cg13265003,SLC37A1,False,
cg13265524,ALS2CR11,False,
cg13276305,-,False,
cg13279673,-,False,
cg13288195,FBXL22,False,
cg13292607,CTBP2,False,
cg13293488,-,False,
cg13298859,LFNG,False,
cg13311509,TLCD2,False,
cg13316148,STAT4,False,
cg13331550,SEMA6C,False,
cg13335567,NCOA2,False,
cg13351143,-,False,
cg13357602,KIAA1949,False,
cg13361023,ATP10A,False,
cg13371740,-,False,
cg13382288,SYT2,False,
cg13383058,CD248,False,
cg13390867,-,False,
cg13404688,-,False,
cg13409070,PTPRN2,False,
cg13409170,NR6A1,False,
cg13411813,-,False,
cg13424229,CPA3,False,
cg13429423,PARVG,False,
cg13431205,RB1,False,
cg13432524,-,False,
cg13436378,DYSF,False,
cg13444518,-,False,
cg13446689,DNM3,False,
cg13447684,MAD1L1,False,
cg13448978,FGR,False,
cg13451886,SLFN5,False,
cg13455623,DOK7,False,
cg13455634,-,False,
cg13458609,ENG,False,
cg13459606,GRB10,False,
cg13461482,TCIRG1,False,
cg13466180,CALR,False,
cg13472735,-,False,
cg13477111,-,False,
cg13487666,NEK6,False,
cg13492227,FGF11,False,
cg13494348,DLL1,False,
cg13496660,TMPRSS9,False,
cg13500720,AKAP12,False,
cg13500877,NR4A2,False,
cg13501279,CREG1,False,
cg13505393,LRRC32,False,
cg13505664,GALP,False,
cg13519184,-,False,
cg13519194,-,False,
cg13531735,-,False,
cg13533061,JMJD6,False,
cg13546321,CUX2,False,
cg13547132,-,False,
cg13558754,HSPB6;C19orf55,False,
cg13560452,OLIG3,False,
cg13562011,EXD3,False,
cg13562841,TMC6,False,
cg13563026,ATP10D,False,
cg13572309,LMO3,False,
cg13576552,-,False,
cg13577194,IPPK,False,
cg13577556,-,False,
cg13585029,NINJ1,False,
cg13587802,DIABLO,False,
cg13588086,GLDC,False,
cg13588355,-,False,
cg13591783,ANXA1,False,
cg13593287,SPTB,False,
cg13595556,-,False,
cg13601957,-,False,
cg13602461,-,False,
cg13603551,ABP1,False,
cg13603914,ANK1;MIR486,False,
cg13610769,ALS2CR11,False,
cg13612642,-,False,
cg13628444,MED27,False,
cg13629132,-,False,
cg13630878,MTMR15,False,
cg13633625,-,False,
cg13651224,CYTSB,False,
cg13672638,FSD1L,False,
cg13672800,C20orf141,False,
cg13676763,FAM125B,False,
cg13679772,FOXN3,False,
cg13681468,GPRIN3,False,
cg13694576,PAX6,False,
cg13694876,EPHB3,False,
cg13708016,-,False,
cg13718185,RHOBTB2,False,
cg13725599,OXT,False,
cg13726456,-,False,
cg13731609,SNX16,False,
cg13731776,PSMB7,False,
cg13732857,-,False,
cg13733615,-,False,
cg13761595,-,False,
cg13762691,CECR2,False,
cg13765206,EMILIN2,False,
cg13766864,KCNE3,False,
cg13768360,-,False,
cg13774539,LOC100189589,False,
cg13776285,NR2E1,False,
cg13776718,FAM69B,False,
cg13778274,PRRX2,False,
cg13786863,CPT1A,False,
cg13787135,RNASE1,False,
cg13790259,DEDD2,False,
cg13790603,THRB,False,
cg13791130,-,False,
cg13802760,-,False,
cg13823666,BAAT,False,
cg13835688,SLC25A25,False,
cg13843843,-,False,
cg13844341,MAD1L1,False,
cg13845133,PBX1,False,
cg13850063,-,False,
cg13850380,C1orf70,False,
cg13850762,TECTA,False,
cg13858106,OBSL1;INHA,False,
cg13863638,RREB1,False,
cg13867915,ARID1A,False,
cg13881964,FOXP4,False,
cg13883851,-,False,
cg13900719,-,False,
cg13905081,-,False,
cg13908359,-,False,
cg13914486,-,False,
cg13916742,SCGB1D1,False,
cg13917964,GARS,False,
cg13920460,TJP2,False,
cg13929658,-,False,
cg13942922,-,False,
cg13951007,LOC728989,False,
cg13951311,-,False,
cg13951862,NOTCH1,False,
cg13954292,ZFR,False,
cg13958625,-,False,
cg13973086,-,False,
cg13987674,GRHL3,False,
cg13998223,-,False,
cg13999585,-,False,
cg14009440,TMEM53,False,
cg14009473,JARID2,False,
cg14011077,-,False,
cg14011789,SEPT9,False,
cg14012610,SLC26A6,False,
cg14014964,-,False,
cg14018429,FAM125B,False,
cg14019951,-,False,
cg14023451,GPLD1,False,
cg14025883,C9orf46,False,
cg14030388,MIR208B;MYH7,False,
cg14040034,CACNA1B,False,
cg14054883,SYK,False,
cg14055887,SURF4,False,
cg14056738,-,False,
cg14062152,TMEM26,False,
cg14063182,-,False,
cg14066298,TRIM39,False,
cg14067101,DMRT3,False,
cg14071023,CLIC5,False,
cg14071925,LILRA1,False,
cg14073571,VIPR2,False,
cg14073922,MED12L,False,
cg14074117,C16orf73,False,
cg14074581,TMEM149,False,
cg14084609,EVL,False,
cg14085060,-,False,
cg14113203,FBP2,False,
cg14118946,-,False,
cg14127396,CCDC62,False,
cg14133643,SIGLEC7,False,
cg14135214,EPS8L2,False,
cg14137279,-,False,
cg14143441,-,False,
cg14156405,RGS7,False,
cg14157107,BNC2,False,
cg14174912,KLF6,False,
cg14177140,MOSC2,False,
cg14177914,C1orf61,False,
cg14182690,RUNX3,False,
cg14185541,-,False,
cg14187229,-,False,
cg14203218,-,False,
cg14210119,-,False,
cg14212850,HRNBP3,False,
cg14218747,-,False,
cg14219620,AKAP12,False,
cg14220170,TRANK1,False,
cg14221617,ALDH1B1,False,
cg14226212,MUSK,False,
cg14228484,CNNM4,False,
cg14234105,-,False,
cg14254720,LRRC8C,False,
cg14255700,IPPK,False,
cg14260695,-,False,
cg14263070,MEGF6,False,
cg14264079,C4orf10;NOP14,False,
cg14286594,NAA15,False,
cg14287235,ADCY4,False,
cg14294321,-,False,
cg14306451,BASP1;LOC285696,False,
cg14306650,RALGPS1,False,
cg14317884,EHD1,False,
cg14326805,TJP2,False,
cg14328115,KCNQ1,False,
cg14335349,PSMB7,False,
cg14339991,ATG7,False,
cg14340110,EIF3B,False,
cg14342707,-,False,
cg14350257,GPSM1,False,
cg14355482,NCAM2,False,
cg14359798,-,False,
cg14365300,FAM125B,False,
cg14370448,YPEL3;TBX6,False,
cg14370520,FAM188B,False,
cg14375890,-,False,
cg14377594,DMRT2,False,
cg14377681,ERBB2,False,
cg14381448,SLC4A1,False,
cg14382976,ASZ1,False,
cg14383658,-,False,
cg14384093,C9orf5,False,
cg14384748,GALNT9,False,
cg14386624,SPIN1,False,
cg14391345,FOXN3,False,
cg14395892,PRUNE2,False,
cg14397813,GNAQ,False,
cg14407437,FABP3,False,
cg14414406,TMOD1,False,
cg14424363,IKBKB,False,
cg14428310,RAB38,False,
cg14437996,SHC3,False,
cg14443182,DNAJB5,False,
cg14449910,SLC22A18AS;SLC22A18,False,
cg14451382,-,False,
cg14458002,RUNX2,False,
cg14460503,AGAP1,False,
cg14461181,-,False,
cg14461582,TLX1,False,
cg14462645,PAQR8,False,
cg14472888,-,False,
cg14476095,LOC285194,False,
cg14498423,CLSTN2,False,
cg14499385,SLC40A1,False,
cg14507088,PIP5KL1,False,
cg14512326,C9orf103,False,
cg14516183,SEC22A,False,
cg14531665,SPIN1,False,
cg14545418,TLE1,False,
cg14547240,C1QTNF7,False,
cg14564616,-,False,
cg14568552,-,False,
cg14570838,FLI1,False,
cg14571493,EGF,False,
cg14573478,-,False,
cg14610335,COL27A1,False,
cg14611258,C17orf39,False,
cg14613878,C20orf118,False,
cg14614643,-,False,
cg14619949,F2RL1,False,
cg14628803,-,False,
cg14630382,MC5R,False,
cg14632729,-,False,
cg14633063,-,False,
cg14640621,HMX2,False,
cg14642045,UNG,False,
cg14655837,-,False,
cg14656180,COL5A1,False,
cg14663914,AZU1,False,
cg14668981,TMEM108,False,
cg14673618,SIX3,False,
cg14681958,SCT,False,
cg14693090,ETV6,False,
cg14700707,NOTCH4,False,
cg14723032,PITPNM3,False,
cg14738670,FXYD1;FXYD7,False,
cg14738806,-,False,
cg14758105,OR1M1,False,
cg14768923,-,False,
cg14769021,XIRP1,False,
cg14769121,SMURF1,False,
cg14771451,MICAL3,False,
cg14781826,BPTF,False,
cg14796230,-,False,
cg14797467,-,False,
cg14799457,-,False,
cg14807793,-,False,
cg14822719,-,False,
cg14826909,ADARB2,False,
cg14836522,SDC3,False,
cg14836555,-,False,
cg14843888,CACNA1D,False,
cg14847236,FAM53A,False,
cg14848077,FLJ13197;KLF3,False,
cg14871333,ALDH3B1,False,
cg14873488,CTAGE5,False,
cg14874541,KALRN,False,
cg14880079,GP5,False,
cg14896003,RASSF7,False,
cg14898646,HEATR2,False,
cg14904363,CEACAM1,False,
cg14905600,PWWP2B,False,
cg14913644,RGL3,False,
cg14930335,AGAP1,False,
cg14943135,-,False,
cg14944923,-,False,
cg14950751,SLC16A11,False,
cg14960827,-,False,
cg14961031,SETMAR,False,
cg14963928,-,False,
cg14966362,-,False,
cg14968732,CPNE8,False,
cg14971286,PVRL1,False,
cg14973204,-,False,
cg14975122,HDAC1,False,
cg14978242,SERINC5,False,
cg14978994,-,False,
cg14987787,-,False,
cg14992656,-,False,
cg15001547,RLN3,False,
cg15002721,FGF23,False,
cg15006175,KIFC2,False,
cg15010903,TIMP2,False,
cg15013019,LYL1,False,
cg15017119,-,False,
cg15033068,MATK,False,
cg15034267,GTPBP1,False,
cg15046877,OPCML,False,
cg15049101,FGFR2,False,
cg15050390,DIXDC1,False,
cg15052890,MED11;CXCL16,False,
cg15068318,SERPINB6,False,
cg15079315,SLC23A2,False,
cg15090899,RPS6KA2,False,
cg15091407,-,False,
cg15107861,WFDC10A;WFDC9,False,
cg15107869,SSR3,False,
cg15111360,-,False,
cg15129506,-,False,
cg15129679,MCOLN3,False,
cg15134553,-,False,
cg15139008,SNORA10;RPS2,False,
cg15142192,EIF2C3,False,
cg15154002,ADRBK2,False,
cg15164573,LOC100128288,False,
cg15168958,FARP1,False,
cg15183258,MGA,False,
cg15184452,ADAMTS2,False,
cg15202006,CPA6,False,
cg15205204,PLEKHG5,False,
cg15207826,CLGN,False,
cg15211908,KCND3,False,
cg15212895,FAM19A5,False,
cg15213210,PAX7,False,
cg15221016,-,False,
cg15244101,-,False,
cg15244327,TNFRSF10D,False,
cg15247169,-,False,
cg15251256,-,False,
cg15261665,LTF,False,
cg15265222,-,False,
cg15267250,-,False,
cg15284433,MMP17,False,
cg15294361,NINJ2,False,
cg15299536,WDR46,False,
cg15304308,AMBRA1,False,
cg15306060,RPL3;RNU86,False,
cg15310873,C20orf85,False,
cg15316843,-,False,
cg15317267,H19;MIR675,False,
cg15329866,PLD1,False,
cg15335683,SPTBN2,False,
cg15344640,LMAN2,False,
cg15347627,C4orf10;NOP14,False,
cg15357945,PRG2,False,
cg15358372,HK1,False,
cg15361231,GLRX2,False,
cg15361251,WWC2,False,
cg15363887,YPEL4,False,
cg15371711,MYL9,False,
cg15376996,SBF1,False,
cg15377871,CEBPE,False,
cg15382568,-,False,
cg15384453,-,False,
cg15396734,FAM90A13;FAM90A14,False,
cg15397740,SLIT1,False,
cg15412918,-,False,
cg15420926,EFR3A,False,
cg15447231,-,False,
cg15454598,C10orf57,False,
cg15456821,BEST1,False,
cg15457718,-,False,
cg15481370,-,False,
cg15482717,FADD,False,
cg15485700,-,False,
cg15488794,BCL2L1,False,
cg15491701,EBF3,False,
cg15520845,NUCKS1,False,
cg15527515,SLC7A8,False,
cg15553397,ST6GALNAC3,False,
cg15570966,ZNF700,False,
cg15583517,TMOD2,False,
cg15611151,HOXC4;HOXC5;HOXC6,False,
cg15613420,H2AFY,False,
cg15618758,ARID1B,False,
cg15652381,-,False,
cg15655655,SRI,False,
cg15658306,TREML2,False,
cg15659052,ELMO1,False,
cg15671688,MIR206,False,
cg15674432,SLC26A8,False,
cg15687973,PDE9A,False,
cg15693483,C7orf50,False,
cg15696662,C1orf190;POMGNT1,False,
cg15698299,ALAS1,False,
cg15699623,POU2F2,False,
cg15700022,PP14571;GPC1,False,
cg15700636,PRG2,False,
cg15702185,MIRLET7A3;LOC400931,False,
cg15704219,C10orf18,False,
cg15704662,-,False,
cg15708153,ZNF542,False,
cg15712226,SNRPF,False,
cg15722293,-,False,
cg15723784,SMAD3,False,
cg15736165,BNC1,False,
cg15736743,KLHL29,False,
cg15742737,SERTAD2,False,
cg15749260,ALMS1P,False,
cg15779716,CDCP1,False,
cg15787636,TBCD,False,
cg15792487,CHRNB1,False,
cg15815948,FAT1,False,
cg15817163,SFRS8,False,
cg15817440,C14orf37,False,
cg15818008,C11orf34,False,
cg15823502,-,False,
cg15825970,IFI30,False,
cg15829728,-,False,
cg15837233,TBR1,False,
cg15838173,FUT11,False,
cg15840418,-,False,
cg15840891,-,False,
cg15843331,VWCE,False,
cg15853299,TBCD,False,
cg15868692,COL4A2,False,
cg15878616,SUMO1P1,False,
cg15883603,SORBS2,False,
cg15896182,-,False,
cg15902864,-,False,
cg15908708,CXCR1,False,
cg15916004,GAL3ST3,False,
cg15916554,-,False,
cg15921911,-,False,
cg15925090,-,False,
cg15925695,DIXDC1,False,
cg15933729,-,False,
cg15935770,KIAA0247,False,
cg15935965,-,False,
cg15944766,-,False,
cg15945129,C7orf58,False,
cg15958289,DCPS,False,
cg15964468,ZSCAN12,False,
cg15965190,-,False,
cg15969431,-,False,
cg15976636,PACRG;PARK2,False,
cg15976883,-,False,
cg15980797,OLIG3,False,
cg15989926,-,False,
cg15998761,MFSD6,False,
cg16001422,PLEC1,False,
cg16015423,SYDE1,False,
cg16017578,-,False,
cg16027132,-,False,
cg16039724,PLAC8,False,
cg16050349,PIK3CB,False,
cg16051154,-,False,
cg16052972,SYN2,False,
cg16058600,NR4A2,False,
cg16059943,PRKCZ,False,
cg16062253,NOTCH4,False,
cg16077493,-,False,
cg16086130,ALDH1A3,False,
cg16090599,-,False,
cg16107105,KCNH2,False,
cg16114434,NRP2,False,
cg16131053,-,False,
cg16170936,SLC48A1,False,
cg16173109,-,False,
cg16177693,NR0B2,False,
cg16178353,-,False,
cg16184737,TTYH3,False,
cg16190510,SLC2A13,False,
cg16199747,-,False,
cg16201146,-,False,
cg16204618,ZNF320,False,
cg16206090,C18orf45,False,
cg16210842,-,False,
cg16230755,ADD3,False,
cg16231241,-,False,
cg16232234,-,False,
cg16236960,MGAT5,False,
cg16240480,EDARADD,False,
cg16246489,H2AFY,False,
cg16248287,C10orf140,False,
cg16251902,-,False,
cg16258076,HMSD,False,
cg16263722,MECR,False,
cg16294363,KCNQ4,False,
cg16299440,AGAP7,False,
cg16300565,ZFR,False,
cg16306654,ACOT7,False,
cg16313393,KCNG1,False,
cg16315262,HLA-DQB2,False,
cg16323609,PRKAR2A,False,
cg16328079,MAGI1,False,
cg16329589,-,False,
cg16336989,RGS6,False,
cg16337087,-,False,
cg16338313,RGS6,False,
cg16342439,-,False,
cg16347811,CHN2,False,
cg16355945,-,False,
cg16370556,RNF39,False,
cg16381059,NXN,False,
cg16384136,GABRG3,False,
cg16384774,FOXN3,False,
cg16386158,IL1RL1,True,IL1RL1
cg16387834,-,False,
cg16391608,SEMA4A,False,
cg16393715,MAD1L1,False,
cg16395997,WDR8,False,
cg16396191,KIAA0564,False,
cg16396488,PLA2G1B,False,
cg16397028,ZFHX3,False,
cg16398581,FGGY,False,
cg16402715,SRBD1,False,
cg16404170,FAM53B,False,
cg16407017,ZFYVE1,False,
cg16409452,EVL,False,
cg16411668,-,False,
cg16412914,AXIN1,False,
cg16413715,UNC5A,False,
cg16421411,C2orf48,False,
cg16426715,GRK6,False,
cg16431436,VCAN,False,
cg16434190,EHD1,False,
cg16437184,-,False,
cg16440561,SPEG,False,
cg16443148,CCDC78;HAGHL,False,
cg16449489,CHST15,False,
cg16453794,-,False,
cg16463700,SULT1C4,False,
cg16463880,ZBTB12,False,
cg16467854,-,False,
cg16469740,HDAC9,False,
cg16470423,-,False,
cg16473141,REC8,False,
cg16473762,ZNF831,False,
cg16477426,CKAP4,False,
cg16493071,CACNA1H,False,
cg16509777,SIX3,False,
cg16521643,-,False,
cg16523185,PEX10,False,
cg16527108,JAKMIP1,False,
cg16527441,DKFZp761E198,False,
cg16532016,C10orf53,False,
cg16532282,-,False,
cg16545218,-,False,
cg16547579,SLC23A2,False,
